EXERSCI278,Yoga Concepts and Practice,2,,,,,,,,,2,,2
EXERSCI286,Decisions for Healthy Behavior,3,,1,,,,,,,,1,2
EXERSCI287,Introduction to Coaching,3,1,,,1,,,,,,1,3
EXERSCI288,Women in Sports,3,,,,2,,1,,,,,3
EXERSCI261,First Aid and Safety,3,,,,,,,,,,2,2
FINANCE120,Personal Finance Decisions,3,,,1,,,,,,,1,2
FRENCH099,French placement exam,0,,,,,,,,2,,,2
FRENCH102,French II,3,,,,1,,,,2,,,3
FRENCH211,Foundations of French Culture and Civilization,3,,,,2,,,1,,,,3
FRENCH212,France Today,3,,,,2,,,1,,,,3
FYS(all sections),First-Year Experience (Titles vary),3,1,1,,,,,,,,,2
GERMAN099,German placement exam,0,,,,,,,,2,,,2
GERMAN102,German II,3,,,,1,,,,2,,,3
GERMAN212,German Culture and Civilization II,3,,,,2,,,1,,,,3
HISTORY121,U.S. History: Colonial to 1877,3,,,,3,,,,,,,3
HISTORY122,U. S. History: 1877 to Present,3,,,,3,,,,,,,3
HISTORY125,Western Civ to 1650,3,,,,3,,,,,,,3
HISTORY126,West Civ from 1650,3,,,,3,,,,,,,3
HISTORY131,History of Asian Civilizations to 1500,3,,,,3,,,,,,,3
HISTORY132,History of Asian Civilizations since 1500,3,,,,3,,,,,,,3
HISTORY141,Imperialism and Colonialism in Modern East Asia,3,,,,3,,,,,,,3
HISTORY142,Latin America: 1945 to Present,3,,,,3,,,,,,,3
HISTORY145,Muslim World to 1405,3,,,,3,,,,,,,3
HISTORY146,Muslim World Since 1405,3,,,,3,,,,,,,3
HISTORY224,The Immigrant Experience in America,3,,,,3,,,,,,,3
HISTORY228,African American History,3,,,,3,,,,,,,3
HISTORY398,Research and Writing Skills in History,3,1,1,,,,1,,,,,3
HISTORY456,Modern Middle East,3,,,,3,,,,,,,3
HONORS103,Honors Public Speaking,3,3,,,,,,,,,,3
HONORS105,Honors Environmental Issues & Choices,3,,1,,,1,1,,,,,3
HONORS107,Honors Mathematical Thinking,3,,,3,,,,,,,,3
HONORS131,Honors Introduction to Individuals with Exceptionalities,3,,,,2,,,,,,1,3
HONORS141,Honors Introduction to Statistics,3,,,3,,,,,,,,3
HONORS152,Honors Literature and Society,3,1,,,,,,2,,,,3
HONORS156,Popular Literature,3,1,,,,,,2,,,,3
HONORS171,Honors Jamaica Co-curricular Learning Experience (CLE),0,,,,1,,,,,,1,2
HONORS172,Honors Leadership Skills,3,,,,,,2,,,,1,3
HONORS211,Principles of Sociology (Honors),3,,,,,,3,,,,,3
HONORS217,Honors Alcohol: Use & Abuse,3,,,,,,,,,2,1,3
HONORS300,Introduction to Research,1,,1,,,,,,,,,1
INSTTECH450,Instructional Design,3,1,,,,,,,,,,1
INTSTUDY101,First-Year Experience (FYS) Fall 2012,3,1,1,,,,,,,,,2
INTSTUDY110,Liberal Arts Seminar Topics,3,1,2,,,,,,,,,3
INTSTUDY204,"Introduction to College Research Writing(was 1 gep goals 1,2,3 before 5/17/16)",3,1,2,,,,,,,,,3
INTSTUDY231,Technical Writing,3,2,1,,,,,,,,,3
ITALIAN099,Italian placement exam,0,,,,,,,,2,,,2
ITALIAN102,Italian II,3,,,,1,,,,2,,,3
ITM175,Information and Technology Management Applications,3,,2,1,,,,,,,,3
LANGCULT200,Comparative Cultural Studies,3,,,,3,,,,,,,3
LANGCULT397,Service Learning in Language and Cultures,0/1,,,,,,,,,,1,1
LAW120,Personal Legal Decisions,3,,1,,,,1,,,,1,3
LAW340,Law and Literature,3,,,,,,,1,,,2,3
MASSCOMM110,Introduction to Mass Communications,3,,1,,2,,,,,,,3
MASSCOMM120,Emergent Media in Mass Communications,3,1,1,,1,,,,,,,3
MASSCOMM220,Multimedia in Mass Communications 1,3,1,,,,,,1,,,1,3
MASSCOMM230,Newswriting,3,2,1,,,,,,,,,3
MASSCOMM260,Introduction to Mediated Communications,3,1,1,,,,1,,,,,3
MASSCOMM275,Cinema Appreciation,3,,,,1,,,2,,,,3
MASSCOMM280,Introduction to Visual Communications,3,1,,,,,1,,,,1,3
MATH101,Mathematical Thinking,3,,,3,,,,,,,,3
MATH111,Finite Math,3,,,3,,,,,,,,3
MATH116,Mathematics for the Health Sciences,3,,,2,,,,,,,,2
MATH118,Applied Matrix Algebra,3,,,3,,,,,,,,3
MATH123,Essentials of Calculus,3,,,3,,,,,,,,3
MATH125,Calculus 1,3,,,2,,1,,,,,,3
MATH126,Calculus 2,3,,,3,,,,,,,,3
MATH141,Introduction to Statistics,3,,,3,,,,,,,,3
MATH201,Concepts of Math 1: Theory of Arithmetic,3,,,2,,,,,,,,2
MATH202,Math Concepts 2,3,,,2,,,,,,,,2
MATH217,History of Mathematics,3,1,1,,,,,,,,,2
MUSIC101,Music Listening,3,,,,,,,3,,,,3
MUSIC102,World Music,3,,,,3,,,,,,,3
MUSIC105,Music Literature,3,,,,,,,3,,,,3
MUSIC 174/374,Maroon and Gold Marching Band,0/1,,,,,,,,,1,,1
MUSIC229,Music Education Computing and Technology,2,,2,,,,,,,,,2
MUSIC321,Music History 1 - Music History to 1750,3,1,,,,,,,,,,1
NURSING100,Personal Health: A Multi-Dimensional Prespective,3,,,,,,,,,2,1,3
NURSING210,Professional Nursing,3,2,1,,,,,,,,,3
NURSING217,Alcohol:Use and Abuse,3,,,,,,,,,2,1,3
NURSING230,Drug Use and Abuse in Society,3,,1,,,,,,,,2,3
NURSING240,Contemporary Women's Health,3,,,,2,,,,,,1,3
NURSING305,Role Development for the Nurse Generalist,3,,1,,,,,,,,,1
NURSING310,Family Nursing,2,,,,1,,,,,,,1
NURSING410,Public Health Nursing,5,,,,2,,,,,,2,4
NURSING451,Transcultural Health Issues,3,,1,,2,,,,,,,3
PHIL110,Critical Thinking,3,,,3,,,,,,,,3
PHIL111,Introduction to Philosophy,3,,,,,,,3,,,,3
PHIL290,Medical Ethics,3,,,,3,,,,,,,3
PHIL292,Contemporary Moral Problems,3,,,,3,,,,,,,3
PHIL295,Business Ethics,3,,,,3,,,,,,,3
